epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,176.912,2.12329,5.96924,1.0078,0.55624,0.49091,0.50213,0.20213,1.87768,3.1792,0.90607,0.000661017,0.000661017,0.000661017
2,351.928,1.84467,3.23459,0.93265,0.62543,0.59706,0.61311,0.27162,1.8938,2.23683,0.91967,0.00119624,0.00119624,0.00119624
3,550.648,1.71729,2.43449,0.9292,0.65892,0.70303,0.70335,0.36196,1.58381,1.67055,0.88094,0.00159947,0.00159947,0.00159947
4,746.388,1.67622,1.86643,0.91982,0.75282,0.69219,0.73367,0.40595,1.48541,1.28427,0.86447,0.001406,0.001406,0.001406
5,940.159,1.52361,1.46024,0.89293,0.68643,0.65758,0.70743,0.42833,1.26957,1.15496,0.85695,0.001208,0.001208,0.001208
6,1137.23,1.33711,1.18495,0.87613,0.82038,0.73356,0.79788,0.48425,1.19403,0.96026,0.8386,0.00101,0.00101,0.00101
7,1332.4,1.26882,1.06375,0.85066,0.75075,0.73932,0.80034,0.48168,1.2074,0.89225,0.82854,0.000812,0.000812,0.000812
8,1522.97,1.25436,0.99605,0.85523,0.83087,0.75758,0.83356,0.56205,1.01583,0.76079,0.82743,0.000614,0.000614,0.000614
9,1710.99,1.10186,0.86968,0.84348,0.83702,0.74699,0.84037,0.54625,1.04582,0.755,0.81788,0.000416,0.000416,0.000416
10,1902.45,1.02802,0.81834,0.83874,0.82365,0.76667,0.84212,0.5648,0.98149,0.73109,0.81209,0.000218,0.000218,0.000218
