epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,251.623,2.13585,6.07535,1.03478,0.54062,0.49944,0.49336,0.20791,1.98996,3.29486,0.95409,0.000662447,0.000662447,0.000662447
2,501.328,1.9773,3.22001,0.99466,0.62023,0.54193,0.55439,0.23957,2.01922,2.16057,0.96171,0.00119753,0.00119753,0.00119753
3,753.291,1.91283,2.16411,0.97011,0.7394,0.63408,0.69291,0.34326,1.6359,1.52481,0.91482,0.00160062,0.00160062,0.00160062
4,1012.24,1.69822,1.59088,0.94113,0.73481,0.62547,0.69806,0.34464,1.67359,1.30135,0.91392,0.001406,0.001406,0.001406
5,1272.26,1.56863,1.26658,0.92677,0.76364,0.6456,0.73932,0.36765,1.64681,1.11756,0.88931,0.001208,0.001208,0.001208
6,1532.13,1.44282,1.10146,0.90659,0.76398,0.69074,0.76731,0.45015,1.34234,0.97206,0.86612,0.00101,0.00101,0.00101
7,1797,1.39196,1.00632,0.88388,0.8027,0.68623,0.77473,0.44805,1.2708,0.93038,0.85154,0.000812,0.000812,0.000812
8,2063.57,1.32607,0.93187,0.87874,0.83933,0.693,0.80046,0.48964,1.19797,0.81623,0.83318,0.000614,0.000614,0.000614
9,2330.53,1.2223,0.84529,0.84714,0.81786,0.75005,0.81937,0.51711,1.13533,0.75651,0.82772,0.000416,0.000416,0.000416
10,2598.32,1.13221,0.80388,0.84328,0.86555,0.70203,0.80677,0.53847,1.06,0.72022,0.82112,0.000218,0.000218,0.000218
